pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
191,DJI MAVIC MINI / MINI SE / MINI 2 GIMBAL COVER,DJI,5,10,"0","","",5,DCP-191,"",1,"0","0","0",8,"0","0","","","","0"
192,DJI MAVIC 2 ZOOM ESC BOARD,DJI,250,350,"0","","",100,DCP-192,"",2,"0","0","0",9,"0","0","","","","0"
193,REPLACE DJI TELLO MOTOR,DJI,20,80,17,"","",60,DCP-193,"",4,"0","0","0",8,"0","0","","","","0"
194,DJI MINI 4 PRO REAR LEFT ARM,DJI,120,240,3,"","",120,DCP-194,"",5,"0","0","0",10,"0","0","","","","0"
195,DJI GIMBAL ARM ADJUSTMENT,DJI,"0",150,"0","","",150,DCP-195,"",19,"0","0","0",9,"0","0","","","","0"
196,DJI MAVIC PRO MIDDLE SHELL,DJI,100,250,"0","","",150,DCP-196,"",4,"0","0","0",10,"0","0","","","","0"
197,DJI SPARK POWER BOARD,DJI,"0",80,"0","","",80,DCP-197,"",3,"0","0","0",9,"0","0","","","","0"
198,DJI MINI 4 PRO OBSSTACLE SENSOR MODULE WITH MAINBOARD,DJI,1500,1800,"0","","",300,DCP-198,"",4,"0","0","0",9,"0","0","","","","0"
199,DJI MAVIC PRO FRONT LANDING GEAR,DJI,20,60,"0","","",40,DCP-199,"",5,"0","0","0",8,"0","0","","","","0"
200,DJI MAVIC PRO GIMBAL COVER ,DJI,10,30,"0","","",20,DCP-200,"",1,"0","0","0",8,"0","0","","","","0"
201,DJI SPARK MOTOR,DJI,50,130,9,"","",80,DCP-201,"",1,"0","0","0",8,"0","0","","","","0"
202,DJI MINI 4 PRO YAW ARM WITH ROLL MOTOR,DJI,170,430,12,"","",260,DCP-202,"",6,"0","0","0",8,"0","0","","","","0"
203,DJI MAVIC AIR COOLING FAN,DJI,"0",110,"0","","",110,DCP-203,"",2,"0","0","0",9,"0","0","","","","0"
204,DJI MAVIC 2 PRO FRONT LEFT ARM,DJI,200,250,"0","","",50,DCP-204,"",2,"0","0","0",9,"0","0","","","","0"
205,DJI MAVIC 2 PRO FRONT SENSOR,DJI,50,350,"0","","",300,DCP-205,"",1,"0","0","0",9,"0","0","","","","0"
206,DJI MAVIC PRO FRONT SENSOR MODULE,DJI,50,220,"0","","",170,DCP-206,"",3,"0","0","0",9,"0","0","","","","0"
207,DJI AIR 2/2S GIMBAL RIBBON CABLE,DJI,10,120,9,"","",110,DCP-207,"",1,"0","0","0",8,"0","0","","","","0"
208,DJI MAVIC AIR 2S PITCH HOLDER,DJI,"0",80,9,"","",80,DCP-208,"",1,"0","0","0",9,"0","0","","","","0"
209,DJI MAVIC AIR 2S FRONT LANDING GEAR,DJI,10,90,6,"","",80,DCP-209,"",4,"0","0","0",9,"0","0","","","","0"
210,DJI MAVIC MINI FRONT LEFT ARM,DJI,85,190,3,"","",105,DCP-210,"",1,"0","0","0",9,"0","0","","","","0"
211,DJI MINI 3 YAW MOTOR FRAME,DJI,"0",50,"0","","",50,DCP-211,"",1,"0","0","0",9,"0","0","","","","0"
212,DJI MINI 3/3 PRO YAW MOTOR COVER,DJI,20,30,10,"","",10,DCP-212,"",1,"0","0","0",9,"0","0","","","","0"
213,DJI MINI 4 PRO GPS CABLE,DJI,30,140,1,"","",110,DCP-213,"",5,"0","0","0",10,"0","0","","","","0"
214,DJI MAVIC PRO COOLING FAN,DJI,50,120,"0","","",70,DCP-214,"",1,"0","0","0",8,"0","0","","","","0"
215,DJI MAVIC AIR 2S PTZ CABLE,DJI,60,280,9,"","",220,DCP-215,"",1,"0","0","0",10,"0","0","","","","0"
216,DJI MAVIC AIR 2S BOTTOM SHELL,DJI,100,180,"0","","",80,DCP-216,"",1,"0","0","0",10,"0","0","","","","0"
217,DJI MAVIC MINI CONTROLLER BATTERY ,DJI,30,150,6,"","",120,DCP-217,"",4,"0","0","0",9,"0","0","","","","0"
218,REPLACE DJI SPARK BATTERY HIGH CAPACITY ( 4 MONTHS WARRANTY ),DJI,130,210,"0","","",80,DCP-218,"",1,"0","0","0",9,"0","0","","","","0"
219,DJI MINI 3 PRO FRONT SENSOR COVER,DJI,30,80,1,"","",50,DCP-219,"",2,"0","0","0",9,"0","0","","","","0"
220,DJI MINI 4 PRO OBSTACLE SENSOR,DJI,350,1100,9,"","",750,DCP-220,"",7,"0","0","0",9,"0","0","","","","0"
221,REPLACE POWER BUTTON,DJI,20,80,"0","","",60,DCP-221,"",6,"0","0","0",9,"0","0","","","","0"
